货币缩写,货币名称,国家名称,地区代码两字,地区代码三字
UGS,Ugandashilling乌干达先令,Uganda乌干达,UG,UGA
USD,U.S.dollar美元  ,USA美国,US,USA
UYP,Uruguaynewpeso乌拉圭比索,Uruguay乌拉圭,UY,URY
VEB,Venezuelabolivar委内瑞拉博利瓦,Venezuela委内瑞拉,VE,VEN
VND,Vietnamdong越南盾       ,Vietnam越南,VN,VNM
XOF,CFAfranc非洲金融共同体法郎,Benin贝宁,BJ,BEN
,,BurkinaFaso布基纳法索,BF,BFA
,,Cameroon喀麦隆,CM,CMR
,,CentralAfricanRepublic中非共和国,CF,CAF
,,Chad乍得,TD,TCD
,,Congo刚果,CG,COG
,,Gabon加蓬,GA,GAB
,,Mali马里,ML,MLI
,,Senegal塞内加尔,SN,SEN
,,Togo多哥,TG,TGO
YUN,Yugoslavdinar南斯拉夫第纳尔,Yugoslavia南斯拉夫,YU,YUG
ZAR,SouthAfricanrand南非兰特,SouthAfrica南非,ZA,ZAF
ZMK,Zambiankwacha赞比亚克瓦查,Zambia赞比亚,ZM,ZMB
ZRZ,Zairianzaire扎伊尔扎伊尔,Zaire扎伊尔,,
